name_en,short_desc,category,size
0_SM_Fleshiness_11,light green ceramic planter,planter,"0.3342,0.3268,0.3701"
0_SM_Fleshiness_12,grey green aloe ceramic bowl,bowl,"0.3354,0.2988,0.4066"
0_SM_Floor_Lamp,dark gray angular floor lamp,lamp,"0.4408,0.4408,1.5256"
0_SM_Keyboard,white minimalist keyboard,keyboard,"0.3255,0.1373,0.0103"
0_SM_Kitchen_bottom_1m,concrete gray shoe cabinet,cabinet,"1.0000,0.6000,0.8500"
0_SM_Kitchen_bottom_60cm,light wood kitchen cabinet,cabinet,"0.6000,0.6000,0.8500"
0_SM_Kitchen_bottom_sink_1m,wood grain kitchen cabinet,cabinet,"1.0000,0.6000,1.1506"
0_SM_Kitchen_corner_60cm,black walnut kitchen cabinet,cabinet,"1.2000,0.6000,2.3000"
0_SM_Kitchen_cupboard_60cm,light wood grain cabinet,cabinet,"0.6000,0.6000,2.3000"
0_SM_Kitchen_decor_1,black matte mug rack,rack,"0.5600,0.0986,0.1882"
0_SM_Kitchen_table,dark gray round coffee table,table,"1.3415,1.3423,0.7217"
0_SM_Kitchen_top_60cm,dark gray minimalist cabinet,cabinet,"0.6000,0.4000,0.7505"
0_SM_Kitchen_top_shelf_50cm,dark angular display shelf,shelf,"0.6000,0.3200,0.7505"
0_SM_Laptop,light gray laptop,laptop,"0.3830,0.2824,0.2571"
0_SM_Military_Bed_2,beige plaid single bed,bed,"1.9667,0.8735,0.8591"
0_SM_Mirror_Fir001,white ornate oval mirror,mirror,"0.9937,0.0528,1.3599"
0_SM_Mirror_Sec001,ornate carved wall mirror,mirror,"0.8526,0.0309,1.1274"
0_SM_Mirror_thr001,white framed vanity mirror,mirror,"0.8000,0.1146,1.2399"
0_SM_Mirror001,natural wood wall mirror,mirror,"0.7196,0.0300,0.7196"
0_SM_Mirror003,brushed metal oval mirror,mirror,"0.5933,0.0363,0.7547"
0_SM_Modern_Armchair,beige modern sofa chair,chair,"1.3668,1.0446,0.8568"
0_SM_Modern_Bed_1,beige patterned double bed,bed,"2.3857,2.3403,1.1413"
0_SM_Modern_Bed_2,white upholstered bed,bed,"2.3543,2.3208,1.1286"
0_SM_Modern_Cupboard,light wood wardrobe,wardrobe,"2.8225,0.7578,2.5689"
0_SM_Modern_Office_chair,brown fabric office chair,chair,"0.6205,0.6443,1.0218"
0_SM_Modern_Table,dark angular wooden desk,desk,"1.9298,0.9093,0.7798"
0_SM_Monitor_2,dark metallic monitor,monitor,"0.5630,0.1617,0.4469"
0_SM_Old_Chair,dark wooden chair,chair,"0.4837,0.4900,0.9507"
0_SM_Old_Table,dark brown wooden desk,desk,"1.5798,0.8899,0.7496"
0_SM_Plant_03,golden brown palm pot,pot,"1.1791,1.2604,1.4006"
0_SM_Plant_05,tropical green ceramic pot,pot,"0.9589,0.9336,1.4639"
0_SM_Plant_08,green concrete planter,planter,"0.7051,0.6269,1.1669"
0_SM_Plant_09,white ribbed planter,planter,"0.7494,0.5113,1.3738"
0_SM_Plant_10,green ribbed ceramic pot,pot,"0.8883,0.9124,1.4495"
0_SM_Plant_11,concrete pebble fan palm,plant,"0.5219,0.5069,0.9179"
0_SM_Plant_14,gray textured pot,pot,"0.8034,0.8388,1.3877"
0_SM_Reception_table,light marble beige wood table,table,"2.0000,0.7000,0.7500"
0_SM_Round_chair,gray metal bar stool,stool,"0.4393,0.4393,0.7006"
0_SM_Shelf,industrial wood bookshelf,bookcase,"1.0000,0.4000,3.2008"
0_SM_Shelf_2,light wood shelving unit,shelf,"0.8000,0.3500,2.0150"
0_SM_Shoe13_L,gray canvas high top,table,"0.0858,0.2488,0.0689"
0_SM_Shoe24_L,blue canvas high top,stool,"0.0733,0.2127,0.0633"
0_SM_Shoe4_L,brown leather slip shoe,shoe,"0.0816,0.2280,0.1147"
0_SM_Shoe5_L,grey leather high heel,shoe,"0.0848,0.2459,0.0731"
0_SM_Sofa_1,beige modular sectional sofa,sofa,"3.8072,3.0086,0.8441"
0_SM_Sofa_1_ottoman,charcoal velvet floor cushion,cushion,"0.9427,0.7062,0.4011"
0_SM_Sofa_2,beige fabric sofa,sofa,"2.7624,1.0424,0.8559"
0_SM_Stool_Fir001,teal velvet bench,bench,"0.7894,0.3337,0.4949"
0_SM_Stool001,gray upholstered ottoman,ottoman,"0.4733,0.4786,0.4126"
0_SM_Stool002,gray textured stool,stool,"0.6027,0.4017,0.4492"
0_SM_Stool003,gray upholstered ottoman,ottoman,"0.4411,0.4492,0.4222"
0_SM_Table_1,gray rectangular coffee table,table,"1.9987,0.9987,0.7362"
0_SM_Table001,white marble vanity table,table,"1.5212,0.4548,0.8979"
0_SM_Table001_02,white marble gold metal console table,table,"1.3205,0.3500,0.8299"
0_SM_Table003_03,white marble console table,table,"1.3990,0.3500,0.8500"
0_SM_TableLamp_thr001,beige linen table lamp,lamp,"0.3072,0.3066,0.6422"
0_SM_Toilet,white ceramic toilet,toilet,"0.4437,0.6942,0.7880"
0_SM_Vase_2,beige ceramic vase,vase,"0.1388,0.1373,0.3229"
0_small_oil_can_01_2k_packed,weathered red metal can,can,"0.2661,0.1038,0.2368"
0_sofa_01_2k_packed,beige upholstered sofa,sofa,"1.5715,0.6580,0.7965"
0_sofa_02_2k_packed,dark gray tufted sofa,sofa,"1.8072,0.8178,0.7095"
0_sofa_03_2k_packed,brown leather sofa,sofa,"2.7312,0.9251,1.1183"
0_standing_picture_frame_01_2k_packed,dark gray wooden easel stand,stand,"0.2008,0.1003,0.2497"
0_steel_frame_shelves_01_2k_packed,light wood shelf,shelf,"1.0974,0.5021,2.1405"
0_steel_frame_shelves_02_2k_packed,light wood five tier shelf,shelf,"0.5933,0.5024,2.1416"
0_steel_frame_shelves_03_2k_packed,dark wood metal shelf,shelf,"2.3511,0.7212,2.3118"
0_television_01_2k_packed,vintage wood television,stand,"0.6000,0.4708,0.4568"
0_tire_pump_2k_packed,silver gray floor bike pump,pump,"0.2549,0.1010,0.5795"
0_treasure_chest_2k_packed,weathered wooden chest,chest,"0.9590,0.5229,0.6190"
0_ukulele_01_2k_packed,natural wood ukulele,ukulele,"0.5270,0.1779,0.0508"
0_utility_box_01_2k_packed,weathered gray metal cabinet,cabinet,"0.5200,0.4320,1.1203"
0_utility_box_02_2k_packed,weathered green metal cabinet,cabinet,"0.9200,0.4320,1.1203"
0_vintage_cabinet_01_2k_packed,dark gray wooden hutch,hutch,"2.0218,0.6698,2.2351"
0_vintage_oil_lamp_2k_packed,antique brass perfume atomizer,atomizer,"0.2200,0.2200,0.8016"
0_vintage_pocket_watch_2k_packed,beige floral pocket watch,watch,"0.0613,0.0799,0.0136"
0_vintage_wooden_drawer_01_2k_packed,wooden metal storage cabinet,cabinet,"0.8576,0.4574,0.5454"
0_wheelchair_01_2k_packed,gray metal wheelchair,chair,"0.8241,1.0909,1.1035"
0_wooden_axe_02_2k_packed,gray metal axe,axe,"0.7042,0.2257,0.0509"
0_wooden_axe_2k_packed,weathered metal battle axe,axe,"0.6303,0.2143,0.0472"
0_wooden_bowl_02_2k_packed,natural wooden bowl,bowl,"0.1307,0.1245,0.0731"
0_wooden_bucket_01_2k_packed,weathered wooden bucket,bucket,"0.3670,0.3422,0.5499"
0_wooden_bucket_02_2k_packed,rustic wooden barrel,barrel,"0.6153,0.6163,0.3504"
0_wooden_candlestick_2k_packed,rustic wooden candlestick,candle,"0.0972,0.0987,0.2197"
0_wooden_crate_02_2k_packed,wooden engraved storage box,box,"1.1663,0.5291,0.4640"
0_wooden_cutting_board_2k_packed,natural wood cutting board,board,"0.4499,0.2467,0.0413"
0_wooden_display_shelves_01_2k_packed,light wood display cabinet,cabinet,"1.0778,0.3715,1.5562"
0_wooden_handle_saber_2k_packed,silver metal curved sword,sword,"0.9355,0.1228,0.0257"
0_wooden_lantern_01_2k_packed,weathered metal lantern,lantern,"0.2210,0.2347,0.5301"
0_wooden_spoon_2k_packed,natural wooden spoon,spoon,"0.2776,0.0867,0.0251"
0_wooden_stool_02_2k_packed,weathered wooden stool,stool,"0.2652,0.1831,0.1819"
0_yellow_onion_2k_packed,brown papery onion,onion,"0.0725,0.0686,0.0864"
1_AntitankObstacles,weathered metal hedgehog,vase,"2.4441,2.1981,1.8641"
1_Barbwire01,gray spiral obstacle coil,coil,"2.0600,0.6633,0.6759"
1_BarrierConcrete01,gray concrete barrier,barrier,"1.5755,0.6263,0.9794"
1_Brick01,gray concrete cinder block,block,"0.3181,0.1590,0.1590"
1_Sandbag03,beige sandbag barricade wall,wall,"3.2766,0.5713,0.9236"
1_TinSheet01,weathered brown metal sheet,shelf,"1.0285,2.0479,0.0287"
1_TinSheet02,weathered brown corrugated metal sheet,sheet,"1.0724,1.8680,0.2347"
10_SM_Ad_Box,gray red freestanding sign,sign,"0.9044,0.5741,1.8207"
10_SM_Ad_Box_05,white weathered digital billboard,billboard,"0.9044,0.5741,1.8207"
10_SM_Ad_Box_06,weathered metal sign,sign,"0.9044,0.5741,1.8207"
10_SM_Chair,dark olive green stadium bench,bench,"1.9378,0.7067,1.2735"
10_SM_Fire_Extinguisher,weathered red fire extinguisher,fire,"0.2658,0.1842,0.5643"
10_SM_Phone_01,gray concrete telephone booth,booth,"0.4654,0.1807,0.9133"
10_SM_Phone_03,weathered gray payphone,phone,"0.3066,0.1024,0.6645"
10_SM_Pipe_03,gray concrete cable duct,duct,"0.5312,0.0748,0.1979"
10_SM_Pipe_04,weathered concrete pipe,pipe,"0.5512,0.0766,0.0777"
10_SM_Train,silver gray subway train car,car,"2.8056,15.1019,3.7248"
10_SM_Trash_Bin,weathered white cylindrical bin,bin,"0.3601,0.3594,0.6272"
11_SM_Blade,black wrapped katana,sword,"0.9482,0.0958,0.3732"
11_SM_Books_03,teal blue paperback book,book,"0.1402,0.0347,0.2099"
11_SM_Books_04,gray bloodstained book,book,"0.1386,0.0310,0.2102"
11_SM_Books_05,aged parchment book,book,"0.1402,0.0356,0.2099"
11_SM_Books_06,dark navy paperback book,book,"0.1386,0.0317,0.2102"
11_SM_Burger,sesame seed burger,burger,"0.1566,0.1542,0.0874"
11_SM_Cabinet_01,white marble cabinet,cabinet,"1.0000,0.7161,0.9497"
11_SM_Cabinet_02,white marble cabinet,cabinet,"1.0000,0.7154,0.9497"
11_SM_Cabinet_07,gray metal distribution cabinet,cabinet,"0.4370,0.3748,0.6234"
11_SM_Can_01,vintage turquoise cylindrical can,can,"0.0579,0.0579,0.0820"
11_SM_Can_06,red label tuna can,can,"0.0580,0.0580,0.0367"
11_SM_Carpet,deep red floral carpet,rug,"2.9431,5.5000,0.0000"
11_SM_Cigarette_01,vintage turquoise cigarette pack,pack,"0.0379,0.0141,0.0689"
